Maritime wins toss - defers
"J. Gagliardi kickoff 33 yards to the ASTATE32, Thomas, Andrew return 8 yards to the ASTATE40 (J. Goodwin)."
ASTATE at 15:00
2nd and 10 at ASTATE28,"C. Schiavone rush for 19 yards to the ASTATE09 (Marun, Julian)."
1st and GOAL at ASTATE09,"C. Schiavone rush for 1 yard to the ASTATE08 (Campbell, T.; Augustin, R.)."
2nd and GOAL at ASTATE08,"J. Lynn pass incomplete to K. Murphy (Van Fleet, R.)."
3rd and GOAL at ASTATE08,J. Lynn pass incomplete to A. Geni.
4th and GOAL at ASTATE08,"J. Gagliardi field goal attempt from 25 MISSED - wide left, spot at ASTATE20, clock 10:08."
Total,"13 plays , 72 yards Time of Possession: 04:43"
ASTATE at 10:08
1st and 10 at ASTATE20,ASTATE drive start at 10:08.
1st and 10 at ASTATE20,"Clark, Ronnie rush for 20 yards to the ASTATE40 (J. Snuffer; D. Stephens)."
1st and 10 at ASTATE40,"Clark, Ronnie rush for 2 yards to the ASTATE42 (J. Corsfield)."
2nd and 8 at ASTATE42,"Palmer, Jake rush for 1 yard to the ASTATE43 (S. Escaldi; J. Lupardo)."
3rd and 7 at ASTATE43,"Wilson, Dashown pass incomplete to Thomas, Andrew."
4th and 7 at ASTATE43,QB hurry by F. Vano.
4th and 7 at ASTATE43,"Zimmerman, M. punt 28 yards to the MARITIME29, fair catch by A. Geni."
Total,"4 plays , 23 yards Time of Possession: 02:07"
MARITIME at 08:01
1st and 10 at MARITIME29,MARITIME drive start at 08:01.
1st and 10 at MARITIME29,"H. Williamson rush for 70 yards to the ASTATE01, fumble forced by Nixon, Jeremiah, fumble by H. Williamson recovered by ASTATE Van Fleet, R. at ASTATE00, touchback."
Total,"1 plays , 71 yards Time of Possession: 00:15"
ASTATE at 07:46
1st and 10 at ASTATE20,ASTATE drive start at 07:46.
1st and 10 at ASTATE20,"Wilson, Dashown rush for 10 yards to the ASTATE30 (J. Snuffer)."
1st and 10 at ASTATE30,"Clark, Ronnie rush for 5 yards to the ASTATE35 (J. Corsfield)."
2nd and 5 at ASTATE35,"Carroll, David rush for 4 yards to the ASTATE39 (L. Bailey)."
3rd and 1 at ASTATE39,"Palmer, Jake rush for 12 yards to the MARITIME49, out-of-bounds (D. Hanley)."
1st and 10 at MARITIME49,"Clark, Ronnie rush for 1 yard to the MARITIME48, out-of-bounds (F. Vano)."
2nd and 9 at MARITIME48,"Clark, Ronnie rush for 3 yards to the MARITIME45 (J. Lupardo; J. Jimenez)."
3rd and 6 at MARITIME45,"Wilson, Dashown rush for 2 yards to the MARITIME43 (W. Betencourt; J. Varga)."
4th and 4 at MARITIME43,"Wilson, Dashown pass complete to Thomas, Andrew for 8 yards to the MARITIME35 (T. Trapanii)."
1st and 10 at MARITIME35,"Wilson, Dashown pass complete to Thomas, Andrew for 5 yards to the MARITIME30 (D. Stephens)."
2nd and 5 at MARITIME30,"Clark, Ronnie rush for no gain to the MARITIME30 (C. Conelley; J. Corsfield)."
3rd and 5 at MARITIME30,"Wilson, Dashown pass complete to Thomas, Andrew for 7 yards to the MARITIME23 (T. Trapanii)."
1st and 10 at MARITIME23,"Wilson, Dashown pass intercepted by J. Snuffer at the MARITIME05, J. Snuffer return 15 yards to the MARITIME20 (Carson, Trevor)."
Total,"12 plays , 57 yards Time of Possession: 07:04"
MARITIME at 00:42
1st and 10 at MARITIME20,MARITIME drive start at 00:42.
1st and 10 at MARITIME20,J. Lynn pass incomplete to C. Judge.
2nd and 10 at MARITIME20,"J. Lynn pass incomplete to A. Geni (Pierre-Paul, A.)."
3rd and 10 at MARITIME20,"H. Williamson rush for 7 yards to the MARITIME27 (Morakis, Ben; Zimmerman, M.)."
4th and 3 at MARITIME27,"Timeout ASTATE, clock 00:26."
4th and 3 at MARITIME27,"J. Gagliardi punt 55 yards to the ASTATE18, A. Wells return 44 yards to the ASTATE29 (Odukale, Joshua), PENALTY ASTATE roughing the kicker (Zimmerman, M.) 5 yards to the MARITIME32, NO PLAY."
1st and 10 at MARITIME32,TEAM rush for loss of 1 yard to the MARITIME31.
2nd and 11 at MARITIME31,"End of half, clock 00:00."
Total,"4 plays , 11 yards Time of Possession: 00:42"
"Start of 3rd quarter, clock 15:00."
ASTATE ball on ASTATE35.
"Zimmerman, M. kickoff 55 yards to the MARITIME10, out-of-bounds, MARITIME ball on MARITIME35."
MARITIME at 15:00
1st and 10 at MARITIME35,MARITIME drive start at 15:00.
1st and 10 at MARITIME35,"H. Williamson rush for 5 yards to the MARITIME40 (Zimmerman, M.; Nixon, Jeremiah)."
2nd and 5 at MARITIME40,J. Lynn pass incomplete to C. Judge.
3rd and 5 at MARITIME40,J. Lynn pass incomplete to H. Williamson.
4th and 5 at MARITIME40,"J. Gagliardi punt 41 yards to the ASTATE19, downed."
Total,"3 plays , 5 yards Time of Possession: 00:55"
ASTATE at 14:05
1st and 10 at ASTATE19,ASTATE drive start at 14:05.
1st and 10 at ASTATE19,"Wilson, Dashown pass complete to Thomas, Andrew for 4 yards to the ASTATE23 (L. Bailey; J. Varga)."
2nd and 6 at ASTATE23,"Wilson, Dashown pass complete to Vargas, B. for 4 yards to the ASTATE27 (D. Stephens; F. Vano)."
3rd and 2 at ASTATE27,"Wilson, Dashown pass complete to Thomas, Andrew for 73 yards to the MARITIME00, TOUCHDOWN, clock 12:31."
1st and GOAL at MARITIME03,"Zimmerman, M. kick attempt good."
1st and 10 at ASTATE35,"Zimmerman, M. kickoff 65 yards to the MARITIME00, touchback."
Total,"3 plays , 81 yards Time of Possession: 01:34"
MARITIME at 12:31
1st and 10 at MARITIME25,MARITIME drive start at 12:31.
1st and 10 at MARITIME25,"H. Williamson rush for loss of 2 yards to the MARITIME23 (Morakis, Ben)."
2nd and 12 at MARITIME23,"H. Williamson rush for loss of 3 yards to the MARITIME20 (Zimmerman, M.; Marun, Julian)."
3rd and 15 at MARITIME20,"J. Lynn pass complete to A. Geni for 25 yards to the MARITIME45, fumble by A. Geni recovered by MARITIME A. Geni at MARITIME46."
1st and 10 at MARITIME46,"C. Schiavone rush for 1 yard to the MARITIME47 (McLeod, Kahmani; Kardelky, A.)."
2nd and 9 at MARITIME47,"J. Lynn rush for loss of 1 yard to the MARITIME46 (Augustin, R.; Nixon, Jeremiah)."
3rd and 10 at MARITIME46,"J. Lynn pass complete to A. Geni for 54 yards to the ASTATE00, TOUCHDOWN, clock 09:28."
1st and GOAL at ASTATE03,J. Gagliardi kick attempt good.
1st and 10 at MARITIME35,"J. Gagliardi kickoff 35 yards to the ASTATE30, Fisher, Gordon return 7 yards to the ASTATE37 (J. Goodwin)."
Total,"6 plays , 75 yards Time of Possession: 03:03"
ASTATE at 09:21
1st and 10 at ASTATE37,ASTATE drive start at 09:21.
1st and 10 at ASTATE37,"Wilson, Dashown rush for 10 yards to the ASTATE47, out-of-bounds (F. Vano)."
1st and 10 at ASTATE47,"Wilson, Dashown pass incomplete to Marks, Cade, dropped pass."
2nd and 10 at ASTATE47,"Ecklund, Derek rush for 2 yards to the ASTATE49 (J. Lupardo)."
3rd and 8 at ASTATE49,"Wilson, Dashown rush for 6 yards to the MARITIME45 (J. Snuffer; W. Betencourt)."
4th and 2 at MARITIME45,"Wilson, Dashown pass incomplete to Vargas, B. (D. Stephens)."
Total,"5 plays , 18 yards Time of Possession: 02:08"
MARITIME at 07:13
1st and 10 at MARITIME45,MARITIME drive start at 07:13.
1st and 10 at MARITIME45,"H. Williamson rush for 18 yards to the ASTATE37 (Zimmerman, M.)."
1st and 10 at ASTATE37,"H. Williamson rush for 3 yards to the ASTATE34 (Zimmerman, M.; Guzman, Jamel)."
2nd and 7 at ASTATE34,"H. Williamson rush for 4 yards to the ASTATE30 (Zimmerman, M.)."
3rd and 3 at ASTATE30,"H. Williamson rush for 1 yard to the ASTATE29 (Weist, Brockton; Kruger, Hunter)."
4th and 2 at ASTATE29,"H. Williamson rush for no gain to the ASTATE29 (Kruger, Hunter; Beato, Jose)."
Total,"5 plays , 26 yards Time of Possession: 02:50"
ASTATE at 04:23
1st and 10 at ASTATE29,ASTATE drive start at 04:23.
1st and 10 at ASTATE29,"Clark, Ronnie rush for 2 yards to the ASTATE31 (F. Vano; L. Bailey)."
2nd and 8 at ASTATE31,"Van Fleet, R. pass incomplete to Broadwater, S., PENALTY ASTATE illegal formation off-setting, PENALTY MARITIME pass interference off-setting, NO PLAY."
2nd and 8 at ASTATE31,"Wilson, Dashown pass complete to Broadwater, S. for 67 yards to the MARITIME02, fumble forced by J. Snuffer, fumble by Broadwater, S. recovered by MARITIME TEAM at MARITIME00, clock 03:11."
1st and 10 at MARITIME00,MARITIME ball on MARITIME20.
1st and 10 at MARITIME20,"J. Lynn pass complete to K. Murphy for 40 yards to the ASTATE40 (Pierre-Paul, A.)."
1st and 10 at ASTATE40,J. Lynn pass incomplete to A. Geni.
2nd and 10 at ASTATE40,"H. Williamson rush for 11 yards to the ASTATE29, out-of-bounds (Zimmerman, M.)."
1st and 10 at ASTATE29,J. Lynn pass incomplete.
2nd and 10 at ASTATE29,"C. Schiavone rush for 1 yard to the ASTATE28 (Nixon, Jeremiah; Zimmerman, M.)."
3rd and 9 at ASTATE28,"J. Lynn pass incomplete to A. Geni, PENALTY ASTATE pass interference (Marun, Julian) 20 yards to the ASTATE08, NO PLAY."
1st and GOAL at ASTATE08,"C. Schiavone rush for no gain to the ASTATE08 (Weist, Brockton; Beato, Jose)."
2nd and GOAL at ASTATE08,"J. Lynn rush for 6 yards to the ASTATE02 (Van Fleet, R.)."
Total,"11 plays , 71 yards Time of Possession: 01:12"
ASTATE at 14:50
1st and 10 at ASTATE27,ASTATE drive start at 14:50.
1st and 10 at ASTATE27,"Wilson, Dashown rush for 4 yards to the ASTATE31 (F. Vano), PENALTY MARITIME personal foul (F. Vano) 15 yards to the ASTATE46."
1st and 10 at ASTATE46,1st and 10.
1st and 10 at ASTATE46,"Wilson, Dashown rush for 3 yards to the ASTATE49 (C. Conelley; D. Hanley)."
2nd and 7 at ASTATE49,"Wilson, Dashown rush for no gain to the ASTATE49 (C. Conelley; S. Escaldi)."
3rd and 7 at ASTATE49,"Wilson, Dashown pass complete to Thomas, Andrew for 4 yards to the MARITIME47 (D. Stephens)."
4th and 3 at MARITIME47,"Wilson, Dashown rush for 2 yards to the MARITIME45 (W. Betencourt)."
Total,"5 plays , 0 yards Time of Possession: 02:23"
MARITIME at 12:27
1st and 10 at MARITIME45,MARITIME drive start at 12:27.
1st and 10 at MARITIME45,"C. Schiavone rush for loss of 3 yards to the MARITIME42 (Morakis, Ben)."
2nd and 13 at MARITIME42,"J. Lynn pass incomplete to A. Geni (Marun, Julian)."
3rd and 13 at MARITIME42,"J. Lynn sacked for loss of 10 yards to the MARITIME32 (Weist, Brockton)."
4th and 23 at MARITIME32,"J. Gagliardi punt 43 yards to the ASTATE25, Van Fleet, R. return 75 yards to the MARITIME00, TOUCHDOWN, clock 10:39."
Total,"3 plays , -13 yards Time of Possession: 01:48"
ASTATE at 10:39
1st and GOAL at MARITIME03,ASTATE drive start at 10:39.
1st and GOAL at MARITIME03,"Zimmerman, M. kick attempt good."
1st and 10 at ASTATE35,"Zimmerman, M. kickoff 32 yards to the MARITIME33, K. Murphy return 9 yards to the MARITIME42 (Van Fleet, R.)."
Total,"0 plays , 0 yards Time of Possession: 00:00"
MARITIME at 10:34
1st and 10 at MARITIME42,MARITIME drive start at 10:34.
1st and 10 at MARITIME42,"H. Williamson rush for 1 yard to the MARITIME43 (Guzman, Jamel)."
2nd and 9 at MARITIME43,"A. Geni rush for loss of 4 yards to the MARITIME39, fumble by A. Geni recovered by MARITIME A. Geni at MARITIME39."
3rd and 13 at MARITIME39,"J. Lynn pass complete to A. Geni for 13 yards to the ASTATE48 (Marun, Julian)."
1st and 10 at ASTATE48,"H. Williamson rush for 5 yards to the ASTATE43 (Marun, Julian)."
2nd and 5 at ASTATE43,"H. Williamson rush for loss of 1 yard to the ASTATE44 (Augustin, R.; Guzman, Jamel)."
3rd and 6 at ASTATE44,"Timeout MARITIME, clock 07:14."
3rd and 6 at ASTATE44,J. Lynn pass incomplete.
4th and 6 at ASTATE44,"J. Gagliardi punt 34 yards to the ASTATE10, fair catch by Van Fleet, R.."
Total,"6 plays , 14 yards Time of Possession: 03:33"
ASTATE at 07:01
1st and 10 at ASTATE10,ASTATE drive start at 07:01.
1st and 10 at ASTATE10,"Wilson, Dashown rush for 5 yards to the ASTATE15 (C. Conelley; J. Corsfield)."
