"Change of possession, USMMA ball on USMMA35, 1st and 10.
                                                        
1st and GOAL at USMMA35,"Gavin Gartner kickoff 53 yards to the MARITIME12, W. Patsakos return 9 yards to the MARITIME21 (Kyle Goolsby;Noah Newburgh)."
Total,"12 plays , 83 yards Time of Possession: 5:18"
Maritime (N.Y.) at 14:16
1st and 10 at MARITIME21,MARITIME (N.Y.) drive start at 14:16.
1st and 10 at MARITIME21,M. Varela pass complete to A. Geni for 7 yards to the MARITIME28 (Xavier Coleman;Eric Davidson).
2nd and 3 at MARITIME28,M. Varela pass complete to A. Geni for loss of 2 yards to the MARITIME26 (Xavier Coleman).
3rd and 5 at MARITIME26,M. Varela pass incomplete to C. Judge.
4th and 5 at MARITIME26,"J. Gagliardi punt 38 yards to the USMMA36, Joe Vitelli return 10 yards to the USMMA46 (J. Behr)."
Total,"3 plays , 5 yards Time of Possession: 1:18"
Merchant Marine at 12:58
1st and 10 at USMMA46,MERCHANT MARINE drive start at 12:58.
1st and 10 at USMMA46,James Early rush for 7 yards to the MARITIME47 (L. Bailey).
2nd and 3 at MARITIME47,"James Early rush for 5 yards to the MARITIME42, 1ST DOWN USMMA (F. Vano)."
1st and 10 at MARITIME42,"James Early rush for 11 yards to the MARITIME31, 1ST DOWN USMMA (L. Bailey)."
1st and 10 at MARITIME31,Mark Thompson rush for 2 yards to the MARITIME29 (S. Escaldi;L. Bailey).
2nd and 8 at MARITIME29,Mark Thompson rush for 7 yards to the MARITIME22 (F. Vano).
3rd and 1 at MARITIME22,"Krystian Abbott rush for 3 yards to the MARITIME19, 1ST DOWN USMMA (L. Bailey;D. Hanley)."
1st and 10 at MARITIME19,James Early rush for 3 yards to the MARITIME16 (L. Bailey;W. Betencourt).
2nd and 7 at MARITIME16,James Early rush for 3 yards to the MARITIME13 (J. Corsfield).
3rd and 4 at MARITIME13,Matt Restifo rush for 3 yards to the MARITIME10 (D. Stephens;J. Snuffer).
4th and 1 at MARITIME10,"James Early rush for 1 yard to the MARITIME9, 1ST DOWN USMMA (J. Lupardo;J. Varga)."
1st and GOAL at MARITIME09,Tyler Reihs rush for 6 yards to the MARITIME3 (J. Snuffer).
2nd and GOAL at MARITIME03,"James Early rush for 3 yards to the MARITIME0, TOUCHDOWN, clock 07:10."
1st and GOAL at MARITIME03,Gavin Gartner kick attempt good.
1st and GOAL at USMMA35,"Gavin Gartner kickoff 55 yards to the MARITIME10, W. Patsakos return 15 yards to the MARITIME25, out-of-bounds (Cody Miller)."
Total,"12 plays , 54 yards Time of Possession: 5:48"
Maritime (N.Y.) at 07:04
1st and 10 at MARITIME25,MARITIME (N.Y.) drive start at 07:04.
1st and 10 at MARITIME25,M. Varela pass complete to A. Geni for loss of 3 yards to the MARITIME22 (Garrett Johnson;Noah Newburgh).
2nd and 13 at MARITIME22,M. Varela pass incomplete to C. Judge (Noah Newburgh).
3rd and 13 at MARITIME22,"M. Varela pass complete to A. Geni for 34 yards to the USMMA44, 1ST DOWN MARITIME (Noah Newburgh)."
1st and 10 at USMMA44,M. Varela pass incomplete to A. Geni.
2nd and 10 at USMMA44,PENALTY MARITIME false start (T. MacCarthy) 5 yards to the USMMA49.
2nd and 15 at USMMA49,H. Williamson rush for loss of 3 yards to the MARITIME48 (Noah Newburgh;Eric Davidson).
3rd and 18 at MARITIME48,M. Varela pass incomplete to M. Cebulski.
