"BU Captains: 1 Arnold, 7 Lovett, 55 Newman, 93 Lynch
                                                        
                                                                UT Captains: 6 Duvernay, 9 Johnson, 19 Jones, 56 Shackelford
                                                            
                                                                Texas wins toss, defers; Baylor receives, defends north end zone."
2nd and 9 at BU15,"Brewer,Charlie pass incomplete to Mims,Denzel (Jalen Green)."
3rd and 9 at BU15,"Brewer,Charlie pass incomplete to Hasty,JaMycal (DeMar Overshown)."
4th and 9 at BU15,"Power,Issac punt 43 yards to the UT42, fair catch by Brandon Jones."
Total,"3 plays , 1 yards Time of Possession: 0:47"
Texas at 09:49
1st and 10 at UT42,TEXAS drive start at 09:49.
1st and 10 at UT42,Sam Ehlinger pass incomplete to Brennan Eagles.
2nd and 10 at UT42,"Roschon Johnson rush for 4 yards to the UT46 (Miller,Chris)."
3rd and 6 at UT46,"Sam Ehlinger sacked for loss of 1 yard to the UT45 (Matiscik,Ross)."
4th and 7 at UT45,"Chris Naggar punt 34 yards to the BU21, downed."
Total,"3 plays , 3 yards Time of Possession: 1:36"
Baylor at 08:13
1st and 10 at BU21,BAYLOR drive start at 08:13.
1st and 10 at BU21,"Brewer,Charlie pass incomplete to Hasty,JaMycal."
2nd and 10 at BU21,"Brewer,Charlie pass complete to Sneed,R.J. for 11 yards to the BU32, 1ST DOWN BU (Caden Sterns)."
1st and 10 at BU32,"Brewer,Charlie pass complete to Platt,Chris for 6 yards to the BU38 (D'Shawn Jamison)."
2nd and 4 at BU38,"Brewer,Charlie pass complete to Sneed,R.J. for 10 yards to the BU48, 1ST DOWN BU (Chris Brown;Brandon Jones)."
1st and 10 at BU48,"Brewer,Charlie pass complete to Platt,Chris for 10 yards to the UT42 (Ayodele Adeoye), PENALTY BU holding (Sneed,R.J.) 10 yards to the BU38, NO PLAY."
1st and 20 at BU38,"Brewer,Charlie pass complete to Hasty,JaMycal for 4 yards to the BU42 (Brandon Jones)."
2nd and 16 at BU42,"Brewer,Charlie sacked for loss of 7 yards to the BU35 (Ayodele Adeoye)."
3rd and 23 at BU35,"Brewer,Charlie rush for 13 yards to the BU48 (DeMar Overshown)."
4th and 10 at BU48,"Power,Issac punt 48 yards to the UT4, downed."
Total,"7 plays , 27 yards Time of Possession: 3:53"
Texas at 04:20
1st and 10 at UT04,TEXAS drive start at 04:20.
1st and 10 at UT04,"Sam Ehlinger pass complete to Malcolm Epps for 15 yards to the UT19, 1ST DOWN UT, out-of-bounds."
1st and 10 at UT19,"Keaontay Ingram rush for no gain to the UT19 (Lynch,Blake)."
2nd and 10 at UT19,"Keaontay Ingram rush for 13 yards to the UT32, 1ST DOWN UT, out-of-bounds (Arnold,Grayland)."
1st and 10 at UT32,"Keaontay Ingram rush for 4 yards to the UT36 (Williams,Jordan;Barnes,Kalon)."
2nd and 6 at UT36,"Sam Ehlinger sacked for loss of 8 yards to the UT28 (Bernard,Terrel)."
3rd and 14 at UT28,"Sam Ehlinger pass complete to Devin Duvernay for 6 yards to the UT34 (Black,Henry)."
4th and 8 at UT34,"Timeout Baylor, clock 01:16."
4th and 8 at UT34,"Chris Naggar punt 40 yards to the BU26, fair catch by Arnold,Grayland."
Total,"6 plays , 30 yards Time of Possession: 3:10"
Baylor at 01:10
1st and 10 at BU26,BAYLOR drive start at 01:10.
1st and 10 at BU26,"Brewer,Charlie rush for 12 yards to the BU38, 1ST DOWN BU (Brandon Jones)."
1st and 10 at BU38,"Brewer,Charlie pass complete to Mims,Denzel for 15 yards to the UT47, 1ST DOWN BU, out-of-bounds."
1st and 10 at UT47,"Brewer,Charlie pass incomplete to Platt,Chris."
2nd and 10 at UT47,"Brewer,Charlie pass incomplete to Hasty,JaMycal."
3rd and 10 at UT47,"Timeout Baylor, clock 00:33."
3rd and 10 at UT47,"Timeout Texas, clock 00:33."
