"BU Captains: 3 Miller, 6 Hasty, 38 Williams, 52 Tecklenburg
                                                        
                                                                OU Captains: 1 Hurts, 9 Murray, 56 Humphrey, 90 Gallimore
                                                            
                                                                Oklahoma wins toss, defers; Baylor receives, defends north end zone."
1st and 10 at OU27,"Brewer,Charlie rush for 23 yards to the OU4, 1ST DOWN BU (Turner-Yell, D.)."
""
1st and GOAL at OU04,"Start of 2nd quarter, clock 15:00."
1st and GOAL at OU04,"Brewer,Charlie rush for 4 yards to the OU0, TOUCHDOWN, clock 14:56."
1st and GOAL at OU03,"Mayers,John kick attempt good."
1st and GOAL at BU35,"Rauschenberg,N. kickoff 65 yards to the OU0, touchback."
Total,"2 plays , 27 yards Time of Possession: 0:05"
Oklahoma at 14:56
1st and 10 at OU25,OKLAHOMA drive start at 14:56.
1st and 10 at OU25,"Hurts, Jalen pass complete to Stevenson, R. for 12 yards to the OU37, 1ST DOWN OU, out-of-bounds (Arnold,Grayland)."
1st and 10 at OU37,"Hurts, Jalen rush for 17 yards to the BU46, 1ST DOWN OU (Miller,Chris)."
1st and 10 at BU46,"Stevenson, R. rush for 2 yards to the BU44 (Matiscik,Ross)."
2nd and 8 at BU44,"Hurts, Jalen pass complete to Basquine, Nick for 6 yards to the BU38 (Arnold,Grayland)."
3rd and 2 at BU38,"Hurts, Jalen pass complete to Rambo, C. for 3 yards to the BU35, 1ST DOWN OU, out-of-bounds (Houston,Jameson)."
1st and 10 at BU35,"Hurts, Jalen rush for no gain to the BU35 (Lockhart,James)."
2nd and 10 at BU35,"Hurts, Jalen rush for loss of 1 yard to the BU36 (Franklin,TJ;Williams,Jordan)."
3rd and 11 at BU36,"Hurts, Jalen pass intercepted by Arnold,Grayland at the BU20, Arnold,Grayland return 71 yards to the OU9, out-of-bounds (Hurts, Jalen)."
Total,"8 plays , 39 yards Time of Possession: 3:47"
Baylor at 11:09
1st and GOAL at OU09,BAYLOR drive start at 11:09.
1st and GOAL at OU09,"Brewer,Charlie pass complete to Mims,Denzel for 9 yards to the OU0, TOUCHDOWN, clock 11:02."
1st and GOAL at OU03,"Mayers,John kick attempt good."
1st and GOAL at BU35,"Rauschenberg,N. kickoff 65 yards to the OU0, touchback."
Total,"1 plays , 9 yards Time of Possession: 0:07"
Oklahoma at 11:02
1st and 10 at OU25,OKLAHOMA drive start at 11:02.
1st and 10 at OU25,"Brooks, Kennedy rush for 10 yards to the OU35, 1ST DOWN OU (Houston,Jameson)."
1st and 10 at OU35,"Hurts, Jalen pass incomplete to Miller, A.D. (Miller,Chris)."
2nd and 10 at OU35,"Hurts, Jalen rush for 14 yards to the OU49, 1ST DOWN OU (Black,Henry).
                                                    
                                                                Injury timeout: #3 Miller (BU)."
1st and 10 at OU49,"Brooks, Kennedy rush for 3 yards to the BU48 (Bernard,Terrel)."
2nd and 7 at BU48,"Hurts, Jalen pass complete to Morris, Lee for 10 yards to the BU38, 1ST DOWN OU (Lynch,Blake)."
1st and 10 at BU38,"Brooks, Kennedy rush for no gain to the BU38 (Black,Henry)."
2nd and 10 at BU38,"Hurts, Jalen rush for 5 yards to the BU33 (Bernard,Terrel)."
3rd and 5 at BU33,"Hurts, Jalen pass incomplete to Basquine, Nick."
4th and 5 at BU33,"Timeout Oklahoma, clock 07:47."
4th and 5 at BU33,"Hurts, Jalen pass incomplete to Rambo, C. (Williams,Jordan), PENALTY BU holding (Houston,Jameson) 10 yards to the BU23, 1ST DOWN OU, NO PLAY."
1st and 10 at BU23,"Hurts, Jalen rush for 8 yards to the BU15, out-of-bounds (Houston,Jameson)."
2nd and 2 at BU15,"Hurts, Jalen pass incomplete to Rambo, C., QB hurry by Bernard,Terrel."
3rd and 2 at BU15,"Stevenson, R. rush for 5 yards to the BU10, 1ST DOWN OU (Bernard,Terrel)."
1st and GOAL at BU10,"Hurts, Jalen rush for 4 yards to the BU6, fumble forced by Black,Henry, fumble by Hurts, Jalen recovered by OU Hurts, Jalen at BU6."
2nd and GOAL at BU06,"Hurts, Jalen rush for 1 yard to the BU5 (Miller,Chris)."
3rd and GOAL at BU05,"Timeout Oklahoma, clock 05:13."
3rd and GOAL at BU05,"Hurts, Jalen pass complete to Stogner, Austin for 5 yards to the BU0, TOUCHDOWN, clock 05:06."
1st and GOAL at BU03,"Brkic, Gabe kick attempt good."
1st and GOAL at OU35,"Brkic, Gabe kickoff 59 yards to the BU6, Fleeks,Josh return 22 yards to the BU28 (Bonitto, Nik)."
Total,"14 plays , 75 yards Time of Possession: 5:56"
Baylor at 05:06
1st and 10 at BU28,BAYLOR drive start at 05:06.
1st and 10 at BU28,"Brewer,Charlie rush for no gain to the BU28 (Redmond, Jalen)."
2nd and 10 at BU28,"Brewer,Charlie pass complete to Platt,Chris for 7 yards to the BU35 (Brown, Tre)."
3rd and 3 at BU35,"Brewer,Charlie pass complete to Sneed,R.J. for 14 yards to the BU49, 1ST DOWN BU (Radley-Hiles, B)."
1st and 10 at BU49,"Hasty,JaMycal rush for 5 yards to the OU46 (Murray, Kenneth)."
2nd and 5 at OU46,"Brewer,Charlie rush for 6 yards to the OU40, 1ST DOWN BU (Gallimore, N.)."
1st and 10 at OU40,"Brewer,Charlie pass complete to Fleeks,Josh for loss of 2 yards to the OU42 (Murray, Kenneth)."
2nd and 12 at OU42,"Brewer,Charlie pass complete to Thornton,Tyquan for 1 yard to the OU41 (Murray, Kenneth)."
3rd and 11 at OU41,"Timeout Baylor, clock 01:07."
3rd and 11 at OU41,"Brewer,Charlie pass complete to Mims,Denzel for 13 yards to the OU28, 1ST DOWN BU (Motley, Parnell)."
1st and 10 at OU28,"Brewer,Charlie rush for 6 yards to the OU22."
2nd and 4 at OU22,"Timeout Baylor, clock 00:41."
2nd and 4 at OU22,"Brewer,Charlie rush for 5 yards to the OU17, 1ST DOWN BU (Motley, Parnell)."
1st and 10 at OU17,"Brewer,Charlie pass complete to Platt,Chris for 6 yards to the OU11, out-of-bounds."
2nd and 4 at OU11,"Brewer,Charlie pass incomplete to Sneed,R.J.."
3rd and 4 at OU11,"Brewer,Charlie pass incomplete to Hasty,JaMycal, QB hurry by Gallimore, N.."
4th and 4 at OU11,"Mayers,John field goal attempt from 28 GOOD, clock 00:03."
1st and GOAL at BU35,"Rauschenberg,N. kickoff 48 yards to the OU17, Brown, Tre return 28 yards to the OU45 (Morgan,C.)."
Total,"14 plays , 61 yards Time of Possession: 5:03"
Oklahoma at 00:03
1st and 10 at OU45,OKLAHOMA drive start at 00:03.
1st and 10 at OU45,"End of half, clock 00:00."
Total,"0 plays , 0 yards Time of Possession: 0:03"
"Start of 3rd quarter, clock 15:00, BU ball on BU35."
"Rauschenberg,N. kickoff 64 yards to the OU1, Brown, Tre return 25 yards to the OU26 (McVea,Jairon)."
Oklahoma at 15:00
1st and 10 at OU26,OKLAHOMA drive start at 15:00.
1st and 10 at OU26,"Hurts, Jalen pass complete to Rambo, C. for 6 yards to the OU32 (Texada,Raleigh)."
2nd and 4 at OU32,"Hurts, Jalen pass complete to Brooks, Kennedy for 4 yards to the OU36, 1ST DOWN OU, out-of-bounds (Black,Henry;Williams,Jordan)."
1st and 10 at OU36,"Hurts, Jalen pass incomplete to Rambo, C. (Lynch,James), QB hurry by Lynch,James."
2nd and 10 at OU36,"Hurts, Jalen rush for 12 yards to the OU48, 1ST DOWN OU, out-of-bounds (Black,Henry)."
1st and 10 at OU48,"Hurts, Jalen pass complete to Morris, Lee for 12 yards to the BU40, 1ST DOWN OU (Arnold,Grayland)."
1st and 10 at BU40,"Hurts, Jalen pass complete to Morris, Lee for 12 yards to the BU28, 1ST DOWN OU (Black,Henry)."
1st and 10 at BU28,"Brooks, Kennedy rush for loss of 1 yard to the BU29 (Bernard,Terrel;Lynch,Blake)."
2nd and 11 at BU29,"Hurts, Jalen rush for 8 yards to the BU21 (Houston,Jameson)."
3rd and 3 at BU21,"Hurts, Jalen pass incomplete to Motley, Parnell, QB hurry by Miller,Chris, PENALTY OU holding (Humphrey, Creed) 10 yards to the BU31, NO PLAY."
3rd and 13 at BU31,"Hurts, Jalen pass complete to Rambo, C. for 28 yards to the BU3, 1ST DOWN OU (Bernard,Terrel)."
1st and GOAL at BU03,"Brooks, Kennedy rush for no gain to the BU3 (Roy,Bravvion)."
2nd and GOAL at BU03,"Brooks, Kennedy rush for no gain to the BU3 (Roy,Bravvion;Lynch,James)."
3rd and GOAL at BU03,"Hurts, Jalen pass complete to Stogner, Austin for 3 yards to the BU0, TOUCHDOWN, clock 09:16."
1st and GOAL at BU03,"Brkic, Gabe kick attempt good."
1st and GOAL at OU35,"Brkic, Gabe kickoff 65 yards to the BU0, touchback."
Total,"12 plays , 74 yards Time of Possession: 5:44"
Baylor at 09:16
1st and 10 at BU25,BAYLOR drive start at 09:16.
