"DEAN ball on DEAN35, clock 15:00."
1st and 10 at DEAN29,"Timeout Dean, clock 11:15."
1st and 10 at DEAN29,R. Wheeler pass incomplete to C. Judge.
2nd and 10 at DEAN29,H. Williamson rush for 7 yards to the DEAN22 (Desmond Dias).
3rd and 3 at DEAN22,"H. Williamson rush for 4 yards to the DEAN18 (Gene Baisden, J)."
1st and 10 at DEAN18,R. Wheeler sacked for loss of 6 yards to the DEAN24 (Dan Lonergan; Nicholaus Grima).
2nd and 16 at DEAN24,"C. Schiavone rush for 1 yard to the DEAN23 (Shamis Henry; Desmond Dias), PENALTY DEAN unsportmanlike conduct (Nicholaus Grima) 11 yards to the DEAN12."
1st and 10 at DEAN12,"Timeout Maritime (N.Y.), clock 08:30."
1st and 10 at DEAN12,H. Williamson rush for 4 yards to the DEAN08 (Nicholaus Grima).
2nd and 6 at DEAN08,H. Williamson rush for 1 yard to the DEAN07 (Nicholaus Grima; Dan Lonergan).
3rd and 5 at DEAN07,R. Wheeler rush for 6 yards to the DEAN01 (Tyzohn Poole).
1st and GOAL at DEAN01,R. Wheeler rush for no gain to the DEAN01 (Shamis Henry).
2nd and GOAL at DEAN01,PENALTY MARITIME false start (H. Williamson) 5 yards to the DEAN06.
2nd and GOAL at DEAN06,H. Williamson rush for 4 yards to the DEAN02 (Amani Johnson).
3rd and GOAL at DEAN02,R. Wheeler rush for loss of 1 yard to the DEAN03 (Amani Johnson).
4th and GOAL at DEAN03,"J. Gagliardi field goal attempt from 25 GOOD, clock 04:05."
1st and 10 at MARITIME35,"J. Gagliardi kickoff 44 yards to the DEAN21, Julian Burris return 45 yards to the MARITIME34 (J. Snuffer)."
Total,"20 plays , 81 yards Time of Possession: 12:06"
Dean at 03:49
1st and 10 at MARITIME34,Dean drive start at 03:49.
1st and 10 at MARITIME34,Terrell Watts pass incomplete to Errol Breaux.
2nd and 10 at MARITIME34,Ki'sean Bullard rush for 4 yards to the MARITIME30 (L. Bailey).
3rd and 6 at MARITIME30,Michael Bethune rush for 8 yards to the MARITIME22 (J. Corsfield).
1st and 10 at MARITIME22,Terrell Watts pass complete to Quintus Reid for 20 yards to the MARITIME02 (L. Bailey; D. Stephens).
1st and GOAL at MARITIME02,Terrell Watts rush for 1 yard to the MARITIME01 (J. Lupardo).
2nd and GOAL at MARITIME01,"Terrell Watts rush for 1 yard to the MARITIME00, TOUCHDOWN, clock 02:15."
1st and GOAL at MARITIME03,Jacob Bisson kick attempt good.
1st and 10 at DEAN35,"Jacob Bisson kickoff 43 yards to the MARITIME22, H. Williamson return 22 yards to the MARITIME44 (Bryan Sierra)."
Total,"6 plays , 34 yards Time of Possession: 01:34"
Maritime (N.Y.) at 02:08
1st and 10 at MARITIME44,Maritime (N.Y.) drive start at 02:08.
1st and 10 at MARITIME44,"R. Wheeler pass complete to C. Judge for 11 yards to the DEAN45, out-of-bounds."
1st and 10 at DEAN45,R. Wheeler rush for 3 yards to the DEAN42 (Shamis Henry).
2nd and 7 at DEAN42,R. Wheeler sacked for loss of 9 yards to the MARITIME49 (Wadell Alceus; Kordell Scott).
3rd and 16 at MARITIME49,"Timeout Dean, clock 00:50."
3rd and 16 at MARITIME49,"Timeout Dean, clock 00:50."
3rd and 16 at MARITIME49,"Timeout Maritime (N.Y.), clock 00:50."
3rd and 16 at MARITIME49,H. Williamson rush for 26 yards to the DEAN25 (Tyzohn Poole).
1st and 10 at DEAN25,R. Wheeler pass incomplete.
2nd and 10 at DEAN25,PENALTY DEAN illegal formation (Shamis Henry) 5 yards to the DEAN20.
2nd and 5 at DEAN20,R. Wheeler pass complete to A. Geni for 19 yards to the DEAN01 (TEAM).
1st and GOAL at DEAN01,"R. Wheeler rush for 1 yard to the DEAN00, TOUCHDOWN, clock 00:21, PENALTY DEAN offside defense declined."
1st and GOAL at DEAN03,J. Gagliardi kick attempt good.
1st and 10 at MARITIME35,"J. Gagliardi kickoff 60 yards to the DEAN05, Julian Burris return 15 yards to the DEAN20 (F. Vano)."
Total,"7 plays , 56 yards Time of Possession: 01:47"
Dean at 00:12
1st and 10 at DEAN20,Dean drive start at 00:12.
1st and 10 at DEAN20,Saquan Kelly rush for 8 yards to the DEAN28 (J. Corsfield).
2nd and 2 at DEAN28,"End of half, clock 00:00."
Total,"1 plays , 8 yards Time of Possession: 00:12"
"Start of 3rd quarter, clock 15:00, MARITIME ball on MARITIME35."
"J. Gagliardi kickoff 44 yards to the DEAN21, Ki'sean Bullard return 15 yards to the DEAN36 (J. Behr), PENALTY MARITIME face mask (D. Stephens) 15 yards to the MARITIME49."
Dean at 14:54
1st and 10 at MARITIME49,Dean drive start at 14:54.
1st and 10 at MARITIME49,Terrell Watts pass complete to Quintus Reid for 15 yards to the MARITIME34 (T. Trapani).
1st and 10 at MARITIME34,Terrell Watts pass complete to Quintus Reid for 29 yards to the MARITIME05 (D. Stephens).
1st and GOAL at MARITIME05,Saquan Kelly rush for no gain to the MARITIME05 (L. Bailey).
