PLAY #,ODK,DN,DIST,YDLN,PLAYTYPE,GNLS,RESULT
196,D,2,10,-09,Pass,0,Incomplete
197,D,3,10,-09,No Info,No Info,Timeout
198,D,3,10,-09,No Info,-9,"Sack, Safety"
199,K,1,20,-20,KO,No Info,Return
200,K,No Info,No Info,No info,No Info,No Info,No Info
201,O,No Info,No Info,No info,---,---,---
202,O,1,10,-44,No Info,No Info,No Info
203,O,1,10,-44,Run,5,Rush
204,O,2,5,-49,Run,3,Rush
205,O,3,2,48,Run,3,Rush
206,O,1,10,45,Run,2,Rush
207,O,2,8,43,Run,7,Rush
208,O,3,1,36,Run,2,Rush
209,O,1,10,34,Run,2,Rush
210,O,2,8,32,Run,3,Rush
211,O,3,5,29,Run,6,Rush
212,O,1,10,23,Run,-1,Rush
213,O,2,11,24,Run,-1,Rush
214,O,3,12,25,No Info,No Info,No Info
215,O,No Info,No Info,No info,No Info,No Info,No Info
