PLAY #,ODK,DN,DIST,YDLN,PLAYTYPE,GNLS,RESULT
212,O,4,10,35,Pass,No Info,Penalty
213,O,1,10,21,Pass,9,Complete
214,O,2,1,12,Run,4,Rush
215,O,1,08,08,Run,5,Rush
216,O,2,03,03,No Info,No Info,Timeout
217,O,2,03,03,Pass,3,"Complete, TD"
218,O,1,03,03,No Info,No Info,Penalty
219,K,1,01,01,Extra Pt.,No Info,Good
220,K,1,35,HELP,KO,No Info,Touchback
221,K,No Info,No Info,No info,No Info,No Info,No Info
222,O,No Info,No Info,No info,---,---,---
223,O,1,10,20,No Info,No Info,No Info
224,O,1,10,20,No Info,No Info,No Info
225,O,1,10,25,Run,1,Rush
226,O,2,9,26,Run,3,Rush
227,O,3,6,29,No Info,-1,Sack
228,O,4,7,28,No Info,No Info,Timeout
229,K,4,7,28,PUNT,No Info,Downed
230,K,No Info,No Info,No info,No Info,No Info,No Info
231,O,No Info,No Info,No info,---,---,---
232,O,1,10,47,No Info,No Info,No Info
233,O,1,10,47,Run,6,Rush
234,O,2,4,41,Run,15,Rush
235,O,1,10,26,Pass,0,Incomplete
236,O,2,10,26,No Info,No Info,Timeout
237,O,2,10,26,No Info,No Info,Timeout
238,K,2,10,26,FG,No Info,Good
239,K,1,35,HELP,KO,No Info,Return
240,K,No Info,No Info,No info,No Info,No Info,No Info
241,O,No Info,No Info,No info,---,---,---
242,O,1,10,25,No Info,No Info,No Info
243,O,1,10,25,No Info,No Info,No Info
244,O,No Info,No Info,No info,No Info,No Info,No Info
