MARITIME ball on MARITIME35.
"J. Gagliardi kickoff 40 yards to the CUFB25, out-of-bounds, PENALTY MARITIME IK (98) 5 yards to the MARITIME30, NO PLAY."
1st and 10 at MARITIME15,R. Wheeler sacked for loss of 4 yards to the MARITIME11 (Chris Rice;Spencer Kozlak).
2nd and 14 at MARITIME11,R. Wheeler pass incomplete to M. Cebulski.
3rd and 14 at MARITIME11,R. Wheeler pass complete to A. Geni for 11 yards to the MARITIME22 (Luc Issa;Dawson Pierson).
4th and 3 at MARITIME22,"J. Gagliardi punt 37 yards to the CUFB41, Jared Brockway return 1 yards to the CUFB42 (J. Snuffer), PENALTY CUFB illegal block (Dylan Ellis) 10 yards to the CUFB32, 1st and 10, CUFB ball on CUFB32."
Total,"5 plays , 17 yards Time of Possession: 2:49"
Castleton at 11:27
1st and 10 at CUFB32,CASTLETON drive start at 11:27.
1st and 10 at CUFB32,Matthew Hesford rush for 2 yards to the CUFB34 (J. Corsfield;F. Vano).
2nd and 8 at CUFB34,"Jacob McCarthy pass complete to A. Martinez for 14 yards to the CUFB48, 1ST DOWN CUFB (T. Trapani)."
1st and 10 at CUFB48,Jacob McCarthy pass complete to Matthew Hesford for 8 yards to the MARITIME44 (J. Corsfield).
2nd and 2 at MARITIME44,"Matthew Hesford rush for 4 yards to the MARITIME40, 1ST DOWN CUFB (J. Jimenez)."
1st and 10 at MARITIME40,"Matthew Hesford rush for 19 yards to the MARITIME21, 1ST DOWN CUFB (F. Vano)."
1st and 10 at MARITIME21,Matthew Hesford rush for 1 yard to the MARITIME20 (J. Corsfield).
2nd and 9 at MARITIME20,"Jacob McCarthy pass incomplete, QB hurry by S. Escaldi."
3rd and 9 at MARITIME20,"Timeout Castleton, clock 08:13."
3rd and 9 at MARITIME20,Jacob McCarthy pass incomplete to A. Martinez (D. Stephens).
4th and 9 at MARITIME20,Jacob McCarthy pass incomplete to Jared Brockway.
Total,"9 plays , 48 yards Time of Possession: 3:30"
Maritime (N.Y.) at 07:57
1st and 10 at MARITIME20,MARITIME (N.Y.) drive start at 07:57.
1st and 10 at MARITIME20,C. Schiavone rush for loss of 1 yard to the MARITIME19 (Kade Gewanter).
2nd and 11 at MARITIME19,R. Wheeler rush for no gain to the MARITIME19 (Chris Rice;Dustin Rock).
3rd and 11 at MARITIME19,"R. Wheeler pass complete to M. Cebulski for 11 yards to the MARITIME30, 1ST DOWN MARITIME."
1st and 10 at MARITIME30,J. Lynn pass incomplete to C. Judge.
2nd and 10 at MARITIME30,J. Lynn pass incomplete to A. Geni (Tristan Clark).
3rd and 10 at MARITIME30,"J. Lynn rush for 3 yards to the MARITIME33 (Dustin Rock), PENALTY MARITIME holding declined."
4th and 7 at MARITIME33,"J. Gagliardi punt 49 yards to the CUFB18, out-of-bounds."
Total,"6 plays , 13 yards Time of Possession: 2:27"
Castleton at 05:30
1st and 10 at CUFB18,CASTLETON drive start at 05:30.
1st and 10 at CUFB18,"Jacob McCarthy pass complete to Saijon McIntosh for 9 yards to the CUFB27, out-of-bounds (F. Vano)."
2nd and 1 at CUFB27,Simon Davis Jr. rush for no gain to the CUFB27 (D. Hanley;L. Bailey).
3rd and 1 at CUFB27,Jacob McCarthy pass incomplete to Saijon McIntosh (D. Stephens).
4th and 1 at CUFB27,"Mike Morgan punt 39 yards to the MARITIME34, fair catch by A. Geni."
Total,"3 plays , 9 yards Time of Possession: 1:30"
Maritime (N.Y.) at 04:00
1st and 10 at MARITIME34,MARITIME (N.Y.) drive start at 04:00.
1st and 10 at MARITIME34,"H. Williamson rush for 21 yards to the CUFB45, 1ST DOWN MARITIME (Luc Issa)."
1st and 10 at CUFB45,R. Wheeler pass complete to A. Geni for 4 yards to the CUFB41 (Lukas Carlson).
2nd and 6 at CUFB41,H. Williamson rush for 3 yards to the CUFB38 (Jacob Griggs).
3rd and 3 at CUFB38,"H. Williamson rush for 9 yards to the CUFB29, 1ST DOWN MARITIME (Kyle Ford)."
1st and 10 at CUFB29,H. Williamson rush for 6 yards to the CUFB23 (Kyle Ford).
2nd and 4 at CUFB23,"H. Williamson rush for 10 yards to the CUFB13, 1ST DOWN MARITIME (Seth Gewanter)."
1st and 10 at CUFB13,"H. Williamson rush for 12 yards to the CUFB1, 1ST DOWN MARITIME (Seth Gewanter;Eli Rollins)."
1st and GOAL at CUFB01,"H. Williamson rush for 1 yard to the CUFB0, TOUCHDOWN, clock 00:33."
1st and GOAL at CUFB03,J. Gagliardi kick attempt good.
1st and GOAL at MARITIME35,"J. Gagliardi kickoff 32 yards to the CUFB33, Caleb Lisai return 12 yards to the CUFB45 (I. Shamoun)."
Total,"8 plays , 66 yards Time of Possession: 3:27"
Castleton at 00:26
1st and 10 at CUFB45,CASTLETON drive start at 00:26.
1st and 10 at CUFB45,Jacob McCarthy rush for loss of 1 yard to the CUFB44.
2nd and 11 at CUFB44,"End of half, clock 00:00."
Total,"1 plays , -1 yards Time of Possession: 0:26"
"Start of 3rd quarter, clock 15:00."
CUFB ball on CUFB35.
"Noah Crossman kickoff 56 yards to the MARITIME9, C. Schiavone return 31 yards to the MARITIME40 (K. Carroll;Dylan Ellis)."
Maritime (N.Y.) at 14:49
1st and 10 at MARITIME40,MARITIME (N.Y.) drive start at 14:49.
1st and 10 at MARITIME40,R. Wheeler rush for 7 yards to the MARITIME47 (Dustin Rock;Andrew Genier).
2nd and 3 at MARITIME47,"H. Williamson rush for 5 yards to the CUFB48, 1ST DOWN MARITIME (Kade Gewanter;Dustin Rock)."
1st and 10 at CUFB48,"R. Wheeler rush for 13 yards to the CUFB35, 1ST DOWN MARITIME (Dawson Pierson)."
1st and 10 at CUFB35,"R. Wheeler pass complete to A. Geni for 8 yards to the CUFB27, out-of-bounds (Seth Gewanter)."
2nd and 2 at CUFB27,R. Wheeler rush for loss of 6 yards to the CUFB33 (Chris Rice).
3rd and 8 at CUFB33,"R. Wheeler pass complete to K. Murphy for 11 yards to the CUFB22, 1ST DOWN MARITIME (Dawson Pierson)."
1st and 10 at CUFB22,H. Williamson rush for 5 yards to the CUFB17 (Lucas Haray).
2nd and 5 at CUFB17,"R. Wheeler pass complete to A. Geni for 8 yards to the CUFB9, 1ST DOWN MARITIME."
1st and GOAL at CUFB09,H. Williamson rush for 1 yard to the CUFB8 (Spencer Kozlak).
2nd and GOAL at CUFB08,"R. Wheeler rush for 5 yards to the CUFB3 (Spencer Kozlak), PENALTY MARITIME holding (N. Serdock) 10 yards to the CUFB18, NO PLAY."
2nd and GOAL at CUFB18,R. Wheeler rush for loss of 4 yards to the CUFB22 (Chris Rice).
3rd and GOAL at CUFB22,"R. Wheeler pass complete to M. Cebulski for 22 yards to the CUFB0, TOUCHDOWN, clock 07:49."
1st and GOAL at CUFB03,"PENALTY MARITIME unsportsmanlike conduct off-setting, PENALTY CUFB unsportsmanlike conduct off-setting."
1st and GOAL at CUFB03,J. Gagliardi kick attempt good.
1st and GOAL at MARITIME35,"J. Gagliardi kickoff 28 yards to the CUFB37, downed."
Total,"11 plays , 60 yards Time of Possession: 7:00"
Castleton at 07:45
1st and 10 at CUFB37,CASTLETON drive start at 07:45.
1st and 10 at CUFB37,"Jacob McCarthy pass complete to Jared Brockway for 5 yards to the CUFB42, out-of-bounds (J. Snuffer)."
2nd and 5 at CUFB42,"Jacob McCarthy pass complete to A. Martinez for 32 yards to the MARITIME26, 1ST DOWN CUFB, out-of-bounds (F. Vano)."
1st and 10 at MARITIME26,Simon Davis Jr. rush for 4 yards to the MARITIME22 (L. Bailey;J. Lupardo).
2nd and 6 at MARITIME22,Simon Davis Jr. rush for 5 yards to the MARITIME17 (C. Conelley).
3rd and 1 at MARITIME17,"Simon Davis Jr. rush for 4 yards to the MARITIME13, 1ST DOWN CUFB (L. Bailey)."
1st and 10 at MARITIME13,Jacob McCarthy pass incomplete to A. Martinez.
2nd and 10 at MARITIME13,Jacob McCarthy pass complete to Simon Davis Jr. for loss of 4 yards to the MARITIME17 (J. Varga).
3rd and 14 at MARITIME17,Jacob McCarthy pass complete to A. Martinez for 10 yards to the MARITIME7 (L. Bailey).
4th and 4 at MARITIME07,PENALTY CUFB false start 5 yards to the MARITIME12.
4th and 9 at MARITIME12,"Andy Kenosh field goal attempt from 29 GOOD, clock 03:21."
1st and GOAL at CUFB35,"Mike Morgan kickoff 39 yards to the MARITIME26, downed."
Total,"9 plays , 51 yards Time of Possession: 4:24"
Maritime (N.Y.) at 03:12
1st and 10 at MARITIME26,MARITIME (N.Y.) drive start at 03:12.
1st and 10 at MARITIME26,C. Schiavone rush for 4 yards to the MARITIME30 (Dawson Pierson;Seth Gewanter).
2nd and 6 at MARITIME30,PENALTY MARITIME false start (L. McManus) 5 yards to the MARITIME25.
2nd and 11 at MARITIME25,C. Schiavone rush for 5 yards to the MARITIME30 (Seth Gewanter).
3rd and 6 at MARITIME30,R. Wheeler pass incomplete to C. Judge.
4th and 6 at MARITIME30,"J. Gagliardi punt 31 yards to the CUFB39, fair catch by Jared Brockway, PENALTY CUFB roughing the kicker 5 yards to the MARITIME35, NO PLAY."
4th and 1 at MARITIME35,"H. Williamson rush for 3 yards to the MARITIME38, 1ST DOWN MARITIME (J. Gilsinger)."
1st and 10 at MARITIME38,H. Williamson rush for 2 yards to the MARITIME40 (Tristan Clark).
2nd and 8 at MARITIME40,"A. Geni rush for 7 yards to the MARITIME47, out-of-bounds (Kyle Ford)."
""
3rd and 1 at MARITIME47,"Start of 4th quarter, clock 15:00."
3rd and 1 at MARITIME47,H. Williamson rush for loss of 1 yard to the MARITIME46 (Dustin Rock).
4th and 2 at MARITIME46,"J. Snuffer rush for no gain to the MARITIME46 (Seth Gewanter), PENALTY MARITIME illegal motion declined."
Total,"8 plays , 20 yards Time of Possession: 3:56"
Castleton at 14:16
1st and 10 at MARITIME46,CASTLETON drive start at 14:16.
1st and 10 at MARITIME46,Jacob McCarthy sacked for loss of 1 yard to the MARITIME47 (J. Corsfield).
2nd and 11 at MARITIME47,Jacob McCarthy pass incomplete to Jared Brockway (F. Vano).
3rd and 11 at MARITIME47,Jacob McCarthy pass complete to Jared Brockway for 10 yards to the MARITIME37 (D. Stephens).
4th and 1 at MARITIME37,"Matthew Hesford rush for 2 yards to the MARITIME35, 1ST DOWN CUFB (L. Bailey)."
1st and 10 at MARITIME35,"Jacob McCarthy pass complete to A. Martinez for 6 yards to the MARITIME29, out-of-bounds (T. Trapani)."
2nd and 4 at MARITIME29,"Jacob McCarthy pass complete to A. Martinez for 16 yards to the MARITIME13, 1ST DOWN CUFB, out-of-bounds (F. Vano)."
1st and 10 at MARITIME13,Matthew Hesford rush for 4 yards to the MARITIME9 (L. Bailey).
2nd and 6 at MARITIME09,PENALTY CUFB personal foul (Joe Stimpfel) 15 yards to the MARITIME24.
2nd and 21 at MARITIME24,Jacob McCarthy pass complete to A. Martinez for 4 yards to the MARITIME20 (L. Bailey).
3rd and 17 at MARITIME20,"Jacob McCarthy pass intercepted by J. Behr at the MARITIME0, J. Behr return 0 yards to the MARITIME0, touchback."
Total,"9 plays , 26 yards Time of Possession: 3:50"
Maritime (N.Y.) at 10:26
1st and 10 at MARITIME25,MARITIME (N.Y.) drive start at 10:26.
1st and 10 at MARITIME25,MARITIME ball on MARITIME20.
1st and 10 at MARITIME20,R. Wheeler pass incomplete to A. Geni (Lukas Carlson).
2nd and 10 at MARITIME20,C. Schiavone rush for 8 yards to the MARITIME28 (Seth Gewanter;Hunter Swan).
3rd and 2 at MARITIME28,"R. Wheeler rush for 3 yards to the MARITIME31, 1ST DOWN MARITIME (Kyle Buckley)."
1st and 10 at MARITIME31,"R. Wheeler pass complete to C. Judge for 6 yards to the MARITIME37, out-of-bounds (Nick Reca)."
2nd and 4 at MARITIME37,H. Williamson rush for 1 yard to the MARITIME38 (Spencer Kozlak).
3rd and 3 at MARITIME38,H. Williamson rush for loss of 1 yard to the MARITIME37 (Spencer Kozlak).
4th and 4 at MARITIME37,"J. Gagliardi punt 40 yards to the CUFB23, Jared Brockway return 0 yards to the CUFB23, fumble by Jared Brockway recovered by MARITIME J. Snuffer at CUFB23."
Total,"6 plays , 17 yards Time of Possession: 3:35"
Maritime (N.Y.) at 06:51
1st and 10 at CUFB23,MARITIME (N.Y.) drive start at 06:51.
1st and 10 at CUFB23,"PENALTY CUFB unsportsmanlike conduct 12 yards to the CUFB11, 1ST DOWN MARITIME."
1st and 10 at CUFB11,"R. Wheeler pass complete to M. Cebulski for 11 yards to the CUFB0, 1ST DOWN MARITIME, TOUCHDOWN, clock 06:39."
1st and GOAL at CUFB03,J. Gagliardi kick attempt good.
1st and GOAL at MARITIME35,PENALTY MARITIME unsportsmanlike conduct (M. Cebulski) 15 yards to the MARITIME20.
1st and GOAL at MARITIME20,"J. Gagliardi kickoff 36 yards to the CUFB44, Devon Kimball return 7 yards to the MARITIME49 (J. Behr)."
Total,"1 plays , 23 yards Time of Possession: 0:12"
Castleton at 06:27
1st and 10 at MARITIME49,CASTLETON drive start at 06:27.
1st and 10 at MARITIME49,"Jacob McCarthy pass complete to A. Martinez for 10 yards to the MARITIME39, 1ST DOWN CUFB, out-of-bounds (J. Varga)."
1st and 10 at MARITIME39,Simon Davis Jr. rush for 1 yard to the MARITIME38 (L. Bailey).
2nd and 9 at MARITIME38,"Jacob McCarthy pass complete to Simon Davis Jr. for 6 yards to the MARITIME32, out-of-bounds (J. Snuffer), PENALTY CUFB illegal block 15 yards to the MARITIME47."
2nd and 18 at MARITIME47,"Jacob McCarthy pass complete to Chance Fee for 12 yards to the MARITIME35, out-of-bounds."
3rd and 6 at MARITIME35,Jacob McCarthy pass incomplete to Chance Fee.
4th and 6 at MARITIME35,"Jacob McCarthy pass complete to Saijon McIntosh for 19 yards to the MARITIME16, 1ST DOWN CUFB (J. Varga)."
1st and 10 at MARITIME16,Jacob McCarthy pass incomplete to Saijon McIntosh.
2nd and 10 at MARITIME16,"Jacob McCarthy pass incomplete to Chance Fee, QB hurry by W. Betencourt."
3rd and 10 at MARITIME16,Jacob McCarthy pass incomplete to Saijon McIntosh (J. Varga).
4th and 10 at MARITIME16,Jacob McCarthy pass complete to Simon Davis Jr. for loss of 2 yards to the MARITIME18 (F. Vano).
Total,"10 plays , 31 yards Time of Possession: 2:38"
Maritime (N.Y.) at 03:49
1st and 10 at MARITIME18,MARITIME (N.Y.) drive start at 03:49.
1st and 10 at MARITIME18,C. Schiavone rush for 1 yard to the MARITIME19 (Dustin Rock).
2nd and 9 at MARITIME19,C. Schiavone rush for 5 yards to the MARITIME24 (Lukas Carlson).
3rd and 4 at MARITIME24,"Timeout Maritime (N.Y.), clock 02:11."
3rd and 4 at MARITIME24,"H. Williamson rush for 15 yards to the MARITIME39, 1ST DOWN MARITIME (Andrew Genier;Lukas Carlson)."
1st and 10 at MARITIME39,H. Williamson rush for 1 yard to the MARITIME40 (Dustin Rock).
2nd and 9 at MARITIME40,R. Wheeler rush for loss of 1 yard to the MARITIME39.
3rd and 10 at MARITIME39,"End of game, clock 00:00."
Total,"5 plays , 21 yards Time of Possession: 3:49"
