PLAY #,ODK,DN,DIST,YDLN,PLAYTYPE,GNLS,RESULT
181,O,No Info,No Info,No info,---,---,---
182,O,1,10,23,No Info,No Info,No Info
183,O,1,10,23,No Info,No Info,Penalty
184,O,1,10,11,Pass,11,"Complete, TD"
185,K,1,03,03,Extra Pt.,No Info,Good
186,K,1,35,HELP,No Info,No Info,Penalty
187,K,1,20,HELP,KO,No Info,Return
188,K,No Info,No Info,No info,No Info,No Info,No Info
189,D,No Info,No Info,No info,---,---,---
190,D,1,10,49,No Info,No Info,No Info
191,D,1,10,49,Pass,10,Complete
192,D,1,10,39,Run,1,Rush
193,D,2,9,38,Pass,6,Block
194,D,2,18,47,Pass,12,Complete
195,D,3,6,35,Pass,0,Incomplete
196,D,4,6,35,Pass,19,Complete
197,D,1,10,16,Pass,0,Incomplete
198,D,2,10,16,Pass,0,Incomplete
199,D,3,10,16,Pass,0,Incomplete
200,D,4,10,16,Pass,-2,Complete
201,D,No Info,No Info,No info,No Info,No Info,No Info
202,O,No Info,No Info,No info,---,---,---
203,O,1,10,-18,No Info,No Info,No Info
204,O,1,10,-18,Run,1,Rush
205,O,2,9,-19,Run,5,Rush
206,O,3,4,-24,No Info,No Info,Timeout
207,O,3,4,-24,Run,15,Rush
208,O,1,10,-39,Run,1,Rush
209,O,2,9,-40,Run,-1,Rush
210,O,3,10,-39,No Info,No Info,No Info
211,O,No Info,No Info,No info,No Info,No Info,No Info
